Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,TotalSpent,Living_With,Children,Family_Size,Is_Parent,generation
Postgraduate,38620.0,0,0,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,False,False,0,False,False,False,False,34214400000000000,59,318.0,Partner,0,2,False,Boomers2
Graduate,40548.0,0,1,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,False,True,0,False,False,False,False,67996800000000000,52,120.0,Partner,1,3,True,Gen-X
Postgraduate,46610.0,0,2,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,False,False,0,False,False,False,True,66355200000000000,70,302.0,Alone,2,3,True,Boomers1
Postgraduate,68657.0,0,0,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,False,False,0,False,False,False,False,56505600000000000,76,1196.0,Partner,0,2,False,Boomers1
Postgraduate,49389.0,1,1,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,False,False,0,False,False,False,False,40089600000000000,71,65.0,Alone,2,3,True,Boomers1
Postgraduate,67353.0,0,1,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,False,False,0,False,False,False,False,29376000000000000,52,913.0,Partner,1,3,True,Gen-X
Undergraduate,23718.0,1,0,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,False,False,0,False,False,False,False,57456000000000000,46,81.0,Partner,1,3,True,Gen-X
Graduate,42429.0,0,1,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,False,False,0,False,False,False,False,2937600000000000,49,67.0,Alone,1,2,True,Gen-X
Postgraduate,48948.0,0,0,53,437.0,8.0,206.0,160.0,49.0,42.0,2,7,10,5,6,True,False,0,False,False,False,True,60739200000000000,79,902.0,Alone,0,1,False,Post-War
Graduate,80011.0,0,1,3,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,False,False,0,False,False,False,False,50630400000000000,42,1395.0,Partner,1,3,True,Gen-X
Postgraduate,20559.0,1,0,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,False,False,0,False,False,False,False,31795200000000000,37,53.0,Partner,1,3,True,Millenials
Graduate,21994.0,0,1,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,False,False,0,False,False,False,False,61516800000000000,65,22.0,Partner,1,3,True,Boomers2
Postgraduate,7500.0,1,0,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,False,False,0,False,False,False,False,57369600000000000,47,31.0,Partner,1,3,True,Gen-X
Graduate,79941.0,0,0,72,123.0,164.0,266.0,227.0,30.0,174.0,1,2,4,9,1,False,False,0,False,False,False,False,13910400000000000,46,984.0,Alone,0,1,False,Gen-X
Undergraduate,7500.0,0,0,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,False,False,0,False,False,False,True,70502400000000000,26,122.0,Partner,0,2,False,Millenials
Graduate,41728.0,1,0,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,False,False,0,False,False,False,False,48470400000000000,54,55.0,Partner,1,3,True,Gen-X
Postgraduate,72550.0,1,1,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,False,False,0,False,False,False,False,73180800000000000,68,1319.0,Partner,2,4,True,Boomers1
Graduate,65486.0,0,1,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,False,False,0,False,False,False,False,86400000000000,65,507.0,Alone,1,2,True,Boomers2
Postgraduate,79143.0,0,0,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,False,False,0,False,False,False,False,65491200000000000,58,1693.0,Partner,0,2,False,Boomers2
Graduate,35790.0,1,0,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,False,False,0,False,False,False,False,58147200000000000,45,72.0,Alone,1,2,True,Gen-X
Graduate,82582.0,0,0,54,510.0,120.0,550.0,156.0,40.0,241.0,1,4,9,7,1,True,False,0,True,False,False,True,13219200000000000,45,1617.0,Alone,0,1,False,Gen-X
Graduate,66373.0,1,1,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,False,False,0,False,False,False,False,31536000000000000,44,606.0,Partner,2,4,True,Gen-X
Postgraduate,82384.0,0,0,55,984.0,51.0,432.0,180.0,120.0,190.0,1,3,10,13,1,False,False,1,False,False,False,True,64540800000000000,67,1957.0,Partner,0,2,False,Boomers2
Graduate,70287.0,0,0,30,295.0,35.0,482.0,121.0,120.0,40.0,1,5,5,10,3,False,False,0,False,False,False,True,57888000000000000,56,1093.0,Alone,0,1,False,Gen-X
Graduate,27938.0,1,0,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,False,False,0,False,False,False,False,19180800000000000,34,29.0,Alone,1,2,True,Millenials
Postgraduate,55954.0,0,1,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,False,False,0,False,False,False,False,24019200000000000,54,518.0,Partner,1,3,True,Gen-X
Postgraduate,75777.0,0,0,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,False,True,1,False,False,False,True,52531200000000000,40,1438.0,Alone,0,1,False,Millenials
Graduate,66653.0,1,1,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,False,False,0,False,False,False,False,76032000000000000,47,612.0,Partner,2,4,True,Gen-X
Graduate,61823.0,0,1,26,523.0,7.0,134.0,37.0,14.0,169.0,4,8,2,10,7,False,False,0,False,False,False,False,56678400000000000,70,884.0,Alone,1,2,True,Boomers1
Postgraduate,67680.0,0,1,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,False,False,0,False,False,False,False,34128000000000000,71,606.0,Alone,1,2,True,Boomers1
Graduate,70666.0,0,0,29,398.0,40.0,367.0,119.0,122.0,30.0,1,7,4,4,4,False,False,0,False,False,False,False,46828800000000000,74,1076.0,Partner,0,2,False,Boomers1
Graduate,25721.0,1,0,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,False,False,0,False,False,False,True,48729600000000000,51,34.0,Partner,1,3,True,Gen-X
Graduate,32474.0,1,1,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,False,False,0,False,False,False,False,2678400000000000,55,11.0,Partner,2,4,True,Gen-X
Undergraduate,88194.0,0,1,19,688.0,14.0,309.0,201.0,24.0,38.0,1,11,10,10,5,True,False,0,True,False,False,True,22636800000000000,43,1274.0,Alone,1,2,True,Gen-X
Graduate,69096.0,0,1,4,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,False,False,0,False,False,False,False,37584000000000000,64,653.0,Partner,1,3,True,Boomers2
Graduate,74854.0,1,2,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,False,False,0,False,False,False,False,42249600000000000,52,1562.0,Partner,3,5,True,Gen-X
Postgraduate,66991.0,0,0,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,False,False,0,False,False,False,False,65404800000000000,68,1253.0,Partner,0,2,False,Boomers1
Graduate,65031.0,0,1,29,258.0,107.0,291.0,84.0,37.0,86.0,4,10,3,13,7,False,False,0,False,False,False,False,54345600000000000,63,863.0,Partner,1,3,True,Boomers2
Postgraduate,60631.0,1,1,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,False,True,0,False,False,False,False,50198400000000000,47,661.0,Partner,2,4,True,Gen-X
Graduate,28332.0,0,0,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,False,False,0,False,False,False,False,19008000000000000,70,65.0,Partner,0,2,False,Boomers1
Graduate,40246.0,1,0,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,False,False,0,False,False,False,False,61948800000000000,45,13.0,Alone,1,2,True,Gen-X
Postgraduate,75251.0,0,0,34,721.0,111.0,925.0,97.0,18.0,18.0,1,7,6,5,5,False,False,0,False,False,False,True,71798400000000000,50,1890.0,Partner,0,2,False,Gen-X
Graduate,75825.0,0,0,40,1032.0,105.0,779.0,137.0,105.0,51.0,0,5,8,9,4,True,False,0,False,False,False,True,62726400000000000,46,2209.0,Alone,0,1,False,Gen-X
Undergraduate,26326.0,0,0,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,False,False,0,False,False,True,False,52358400000000000,46,18.0,Partner,0,2,False,Gen-X
Graduate,56046.0,0,0,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,True,False,0,False,False,False,True,58147200000000000,57,692.0,Partner,0,2,False,Gen-X
Graduate,29760.0,1,0,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,False,False,0,False,False,False,False,71625600000000000,37,165.0,Alone,1,2,True,Millenials
Graduate,26304.0,1,0,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,False,False,0,False,False,False,False,45878400000000000,53,16.0,Partner,1,3,True,Gen-X
Undergraduate,23559.0,1,0,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,False,False,0,False,False,False,False,55209600000000000,49,79.0,Partner,1,3,True,Gen-X
Postgraduate,38620.0,0,0,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,False,False,0,False,False,False,False,34214400000000000,59,318.0,Partner,0,2,False,Boomers2
Graduate,81361.0,0,0,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,False,False,0,False,False,False,False,24537600000000000,35,778.0,Alone,0,1,False,Millenials
Graduate,29440.0,1,1,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,False,False,0,False,False,False,False,33955200000000000,62,56.0,Partner,2,4,True,Boomers2
Postgraduate,36138.0,1,1,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,False,True,0,False,False,False,False,43891200000000000,52,151.0,Partner,2,4,True,Gen-X
Graduate,50388.0,0,1,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,False,True,0,True,False,False,True,16588800000000000,65,372.0,Alone,1,2,True,Boomers2
Graduate,79593.0,0,0,70,350.0,60.0,568.0,110.0,133.0,145.0,1,5,6,7,2,False,False,1,False,False,False,False,86400000000000,49,1366.0,Partner,0,2,False,Gen-X
Graduate,54178.0,0,1,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,False,False,0,False,False,False,False,27561600000000000,55,194.0,Partner,1,3,True,Gen-X
Postgraduate,42394.0,1,0,69,15.0,2.0,10.0,0.0,1.0,4.0,1,1,0,3,7,False,False,0,False,False,False,False,22291200000000000,50,32.0,Alone,1,2,True,Gen-X
Postgraduate,23626.0,1,0,84,27.0,2.0,14.0,0.0,0.0,0.0,3,3,1,3,5,False,False,0,False,False,False,False,16934400000000000,52,43.0,Partner,1,3,True,Gen-X
Graduate,30096.0,1,0,30,5.0,3.0,11.0,12.0,5.0,9.0,1,2,0,3,6,False,False,0,False,False,False,False,17107200000000000,39,45.0,Partner,1,3,True,Millenials
Graduate,47916.0,0,1,72,505.0,0.0,26.0,0.0,0.0,75.0,5,7,4,6,6,False,True,0,False,False,False,False,64281600000000000,62,606.0,Alone,1,2,True,Boomers2
Graduate,51813.0,1,1,37,51.0,2.0,7.0,0.0,1.0,2.0,2,2,0,3,7,False,False,0,False,False,False,False,34300800000000000,50,63.0,Alone,2,3,True,Gen-X
Undergraduate,78497.0,0,0,44,207.0,26.0,447.0,75.0,0.0,223.0,1,5,7,12,2,False,False,0,True,False,False,False,59875200000000000,71,978.0,Partner,0,2,False,Boomers1
Postgraduate,50150.0,0,0,32,135.0,46.0,92.0,65.0,61.0,11.0,2,5,2,7,5,False,False,0,False,False,False,False,46137600000000000,39,410.0,Partner,0,2,False,Millenials
Undergraduate,47823.0,0,1,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,False,False,0,False,False,False,False,43286400000000000,62,72.0,Alone,1,2,True,Boomers2
Postgraduate,34554.0,0,1,43,41.0,1.0,6.0,2.0,0.0,5.0,2,2,0,3,6,False,False,0,False,False,False,False,21686400000000000,63,55.0,Alone,1,2,True,Boomers2
Graduate,85693.0,0,1,59,386.0,172.0,183.0,185.0,132.0,111.0,2,9,5,11,5,False,False,0,False,False,False,False,51408000000000000,43,1169.0,Partner,1,3,True,Gen-X
Postgraduate,65846.0,0,0,68,562.0,81.0,276.0,80.0,40.0,81.0,1,6,3,6,4,False,False,0,False,False,False,False,49075200000000000,77,1120.0,Partner,0,2,False,Post-War
Undergraduate,24594.0,1,0,94,1.0,3.0,6.0,10.0,0.0,9.0,1,1,0,3,5,False,False,0,False,False,False,False,36288000000000000,43,29.0,Partner,1,3,True,Gen-X
Graduate,49096.0,1,1,15,144.0,1.0,32.0,2.0,1.0,7.0,4,4,1,4,7,False,False,0,False,False,False,False,37843200000000000,58,187.0,Partner,2,4,True,Boomers2
Graduate,52413.0,0,2,56,295.0,106.0,271.0,75.0,98.0,65.0,4,6,4,12,6,False,False,0,False,False,False,False,58060800000000000,53,910.0,Partner,2,4,True,Gen-X
Graduate,38557.0,1,0,17,76.0,3.0,31.0,4.0,4.0,27.0,2,3,1,3,7,False,False,0,False,False,False,False,61948800000000000,44,145.0,Alone,1,2,True,Gen-X
Postgraduate,89058.0,0,0,18,454.0,194.0,106.0,31.0,22.0,43.0,1,5,4,4,2,False,False,0,False,False,False,False,75772800000000000,62,850.0,Partner,0,2,False,Boomers2
Graduate,77298.0,0,1,46,425.0,115.0,292.0,23.0,35.0,79.0,1,6,6,11,3,False,False,0,False,False,False,False,57283200000000000,43,969.0,Partner,1,3,True,Gen-X
Postgraduate,68126.0,0,0,40,1332.0,17.0,311.0,23.0,51.0,86.0,1,7,4,5,9,False,True,0,False,False,False,True,67910400000000000,31,1820.0,Alone,0,1,False,Millenials
Postgraduate,57288.0,0,1,27,527.0,0.0,21.0,0.0,0.0,60.0,3,8,1,8,6,False,True,0,False,False,False,False,14169600000000000,59,608.0,Partner,1,3,True,Boomers2
Graduate,86037.0,0,0,95,490.0,44.0,125.0,29.0,20.0,22.0,1,6,7,11,3,False,True,1,False,False,False,True,58147200000000000,31,730.0,Alone,0,1,False,Millenials
Postgraduate,43974.0,1,0,19,378.0,0.0,101.0,0.0,0.0,72.0,5,6,4,6,7,False,False,0,False,False,False,False,62553600000000000,42,551.0,Partner,1,3,True,Gen-X
Graduate,50785.0,1,1,27,64.0,1.0,21.0,0.0,1.0,27.0,2,2,1,3,6,False,False,0,False,False,False,False,36547200000000000,60,114.0,Alone,2,3,True,Boomers2
Graduate,90765.0,0,0,25,547.0,99.0,812.0,151.0,82.0,33.0,0,4,6,5,1,False,False,1,True,False,False,False,27302400000000000,52,1724.0,Partner,0,2,False,Gen-X
Undergraduate,36550.0,1,0,74,47.0,90.0,94.0,123.0,103.0,120.0,5,9,1,5,9,False,False,0,False,False,False,False,56592000000000000,44,577.0,Partner,1,3,True,Gen-X
Undergraduate,30753.0,1,1,85,12.0,5.0,25.0,0.0,9.0,30.0,2,1,1,3,5,False,False,0,False,False,False,False,34041600000000000,55,81.0,Partner,2,4,True,Gen-X
Graduate,21918.0,1,0,37,1.0,6.0,7.0,11.0,5.0,3.0,2,2,0,3,6,False,False,0,False,False,False,False,33436800000000000,53,33.0,Partner,1,3,True,Gen-X
Postgraduate,56129.0,0,1,65,320.0,48.0,133.0,39.0,72.0,48.0,4,6,2,10,4,False,False,0,False,False,False,False,46137600000000000,69,660.0,Partner,1,3,True,Boomers1
Postgraduate,32557.0,1,0,13,34.0,3.0,29.0,0.0,4.0,10.0,3,2,1,3,5,False,False,0,False,False,False,True,24624000000000000,55,80.0,Alone,1,2,True,Gen-X
Postgraduate,19510.0,2,0,63,9.0,0.0,7.0,3.0,4.0,7.0,2,1,0,3,7,False,False,0,False,False,False,False,52358400000000000,37,30.0,Partner,2,4,True,Millenials
Graduate,30992.0,1,0,83,17.0,0.0,14.0,7.0,3.0,2.0,1,1,0,3,7,False,False,0,False,False,False,False,51235200000000000,46,43.0,Alone,1,2,True,Gen-X
Graduate,101970.0,0,0,69,722.0,27.0,102.0,44.0,72.0,168.0,0,6,8,13,2,False,True,1,True,False,False,True,31795200000000000,39,1135.0,Alone,0,1,False,Millenials
Undergraduate,71488.0,0,0,87,162.0,33.0,124.0,40.0,28.0,172.0,2,3,4,7,1,False,False,0,False,False,False,False,56678400000000000,57,559.0,Partner,0,2,False,Gen-X
Graduate,79607.0,0,0,37,450.0,133.0,951.0,173.0,0.0,216.0,1,3,6,6,1,False,False,0,False,False,False,True,51321600000000000,38,1923.0,Alone,0,1,False,Millenials
Postgraduate,54348.0,1,1,51,70.0,0.0,16.0,0.0,0.0,4.0,2,2,0,4,6,False,False,0,False,False,False,False,10540800000000000,69,90.0,Partner,2,4,True,Boomers1
Postgraduate,77376.0,1,1,72,492.0,19.0,110.0,16.0,12.0,12.0,4,6,3,10,4,False,False,0,False,False,False,False,5356800000000000,66,661.0,Partner,2,4,True,Boomers2
Graduate,62998.0,0,1,10,120.0,58.0,73.0,65.0,89.0,58.0,5,5,4,5,5,False,False,0,False,False,False,False,37324800000000000,70,463.0,Partner,1,3,True,Boomers1
Postgraduate,61331.0,1,1,42,534.0,5.0,47.0,0.0,5.0,41.0,5,11,1,6,8,False,False,0,False,False,False,False,37065600000000000,64,632.0,Alone,2,3,True,Boomers2
Graduate,73448.0,0,0,10,236.0,106.0,189.0,23.0,41.0,130.0,1,7,2,9,4,False,False,0,False,False,False,False,5616000000000000,53,725.0,Partner,0,2,False,Gen-X
Postgraduate,41551.0,1,1,51,220.0,0.0,33.0,3.0,0.0,23.0,5,5,1,5,8,False,False,0,False,False,False,False,41385600000000000,58,279.0,Partner,2,4,True,Boomers2
Postgraduate,62981.0,0,0,21,796.0,14.0,590.0,38.0,44.0,0.0,1,4,5,13,3,False,True,0,False,False,False,False,54345600000000000,55,1482.0,Partner,0,2,False,Gen-X
Undergraduate,9548.0,1,0,31,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,False,False,0,False,False,False,False,73440000000000000,46,29.0,Alone,1,2,True,Gen-X
Postgraduate,33762.0,2,1,61,53.0,1.0,34.0,2.0,0.0,16.0,3,2,2,2,8,False,False,0,False,False,False,False,44668800000000000,63,106.0,Partner,3,5,True,Boomers2
Postgraduate,35860.0,1,1,37,15.0,0.0,8.0,4.0,2.0,20.0,2,1,1,2,5,True,False,0,False,False,False,True,17366400000000000,49,49.0,Alone,2,3,True,Gen-X
Postgraduate,36921.0,1,1,74,17.0,1.0,12.0,3.0,1.0,4.0,2,2,0,3,7,False,False,0,False,False,False,False,42854400000000000,57,38.0,Alone,2,3,True,Gen-X
Postgraduate,92859.0,0,0,46,962.0,61.0,921.0,52.0,61.0,20.0,1,5,4,12,2,False,False,0,False,False,False,False,67219200000000000,30,2077.0,Alone,0,1,False,Millenials
Postgraduate,65104.0,0,1,4,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,False,False,0,False,False,False,True,33436800000000000,46,1053.0,Partner,1,3,True,Gen-X
Graduate,86111.0,0,0,73,399.0,28.0,756.0,36.0,40.0,126.0,1,5,7,10,2,False,False,0,False,False,False,False,51494400000000000,60,1385.0,Partner,0,2,False,Boomers2
Postgraduate,68352.0,0,1,47,614.0,16.0,132.0,43.0,33.0,33.0,3,8,5,9,6,False,False,0,False,False,False,False,40176000000000000,48,871.0,Alone,1,2,True,Gen-X
Graduate,41883.0,1,0,13,32.0,34.0,41.0,73.0,16.0,116.0,3,4,2,3,7,False,False,0,False,False,False,False,54172800000000000,34,312.0,Partner,1,3,True,Millenials
Graduate,59809.0,0,2,36,598.0,16.0,141.0,32.0,41.0,49.0,3,3,3,6,8,False,False,0,False,False,False,False,67305600000000000,46,877.0,Partner,2,4,True,Gen-X
Graduate,23957.0,1,0,47,2.0,1.0,18.0,20.0,11.0,16.0,1,2,0,3,6,False,False,0,False,False,False,True,66441600000000000,47,68.0,Partner,1,3,True,Gen-X
Graduate,38547.0,1,0,49,6.0,1.0,10.0,0.0,1.0,4.0,1,1,0,2,8,False,False,0,False,False,True,False,40176000000000000,41,22.0,Partner,1,3,True,Millenials
Undergraduate,35688.0,2,1,94,73.0,3.0,90.0,12.0,1.0,32.0,7,4,1,4,8,False,False,0,False,False,False,False,72230400000000000,49,211.0,Partner,3,5,True,Gen-X
Postgraduate,49605.0,0,0,65,42.0,16.0,29.0,12.0,20.0,8.0,1,2,1,4,3,False,False,0,False,False,False,False,14515200000000000,56,127.0,Partner,0,2,False,Gen-X
Postgraduate,59354.0,0,2,59,295.0,21.0,78.0,39.0,13.0,13.0,1,4,4,7,3,False,False,0,False,False,False,False,19526400000000000,69,459.0,Partner,2,4,True,Boomers1
Graduate,65747.0,0,1,96,346.0,17.0,48.0,23.0,13.0,13.0,4,8,1,6,6,False,True,0,False,False,False,False,13478400000000000,53,460.0,Partner,1,3,True,Gen-X
Undergraduate,46344.0,0,1,28,233.0,20.0,57.0,8.0,20.0,91.0,4,7,1,5,7,False,False,0,False,False,False,False,62380800000000000,50,429.0,Partner,1,3,True,Gen-X
Graduate,34176.0,1,0,12,5.0,7.0,24.0,19.0,14.0,20.0,4,3,0,4,6,False,False,0,False,False,False,False,86400000000000,34,89.0,Alone,1,2,True,Millenials
Postgraduate,61010.0,0,1,57,888.0,0.0,57.0,0.0,0.0,76.0,2,8,5,11,5,False,False,0,False,False,False,False,70588800000000000,70,1021.0,Partner,1,3,True,Boomers1
Graduate,69372.0,0,0,10,997.0,26.0,269.0,34.0,13.0,42.0,1,10,4,6,4,False,True,1,False,False,False,True,56592000000000000,73,1381.0,Partner,0,2,False,Boomers1
Graduate,49967.0,0,1,4,212.0,6.0,69.0,4.0,12.0,3.0,3,6,1,5,7,False,False,0,False,False,False,False,41990400000000000,64,306.0,Alone,1,2,True,Boomers2
Graduate,60199.0,1,2,49,8.0,1.0,7.0,2.0,0.0,0.0,1,0,0,3,4,False,False,0,False,False,False,False,31276800000000000,44,18.0,Alone,3,4,True,Gen-X
